Warning: $HADOOP_HOME is deprecated.

Deleted hdfs://sensorium-1:31888/tmp/spoutput
Warning: $HADOOP_HOME is deprecated.

14/02/26 21:23:01 INFO utils.ConfigurationUtils: No edge input format specified. Ensure your InputFormat does not require one.
14/02/26 21:23:01 INFO utils.ConfigurationUtils: No edge output format specified. Ensure your OutputFormat does not require one.
14/02/26 21:23:01 INFO utils.ConfigurationUtils: Setting custom argument [giraph.useOutOfCoreGraph] to [false] in GiraphConfiguration
14/02/26 21:23:01 INFO utils.ConfigurationUtils: Setting custom argument [giraph.useOutOfCoreMessages] to [true] in GiraphConfiguration
14/02/26 21:23:01 INFO utils.ConfigurationUtils: Setting custom argument [giraph.partitionsDirectory] to [/scratch/yingyib/giraph] in GiraphConfiguration
14/02/26 21:23:01 INFO utils.ConfigurationUtils: Setting custom argument [giraph.shortestPathsBenchmark.sourceId] to [2691344] in GiraphConfiguration
14/02/26 21:23:02 INFO job.GiraphJob: run: Since checkpointing is disabled (default), do not allow any task retries (setting mapred.map.max.attempts = 0, old value = 4)
14/02/26 21:23:09 INFO job.GiraphJob: run: Tracking URL: http://sensorium-1:47040/jobdetails.jsp?jobid=job_201402140954_0073
14/02/26 21:24:03 INFO job.HaltApplicationUtils$DefaultHaltInstructionsWriter: writeHaltInstructions: To halt after next superstep execute: 'bin/halt-application --zkServer sensorium-71.ics.uci.edu:22181 --zkNode /_hadoopBsp/job_201402140954_0073/_haltComputation'
14/02/26 21:24:03 INFO mapred.JobClient: Running job: job_201402140954_0073
14/02/26 21:24:04 INFO mapred.JobClient:  map 68% reduce 0%
14/02/26 21:24:05 INFO mapred.JobClient:  map 71% reduce 0%
14/02/26 21:24:06 INFO mapred.JobClient:  map 75% reduce 0%
14/02/26 21:24:09 INFO mapred.JobClient:  map 81% reduce 0%
14/02/26 21:24:10 INFO mapred.JobClient:  map 84% reduce 0%
14/02/26 21:24:11 INFO mapred.JobClient:  map 93% reduce 0%
14/02/26 21:24:12 INFO mapred.JobClient:  map 96% reduce 0%
14/02/26 21:24:17 INFO mapred.JobClient:  map 100% reduce 0%
14/02/26 21:27:18 INFO mapred.JobClient: Job complete: job_201402140954_0073
14/02/26 21:27:18 INFO mapred.JobClient: Counters: 75
14/02/26 21:27:18 INFO mapred.JobClient:   Zookeeper halt node
14/02/26 21:27:18 INFO mapred.JobClient:     /_hadoopBsp/job_201402140954_0073/_haltComputation=0
14/02/26 21:27:18 INFO mapred.JobClient:   Job Counters 
14/02/26 21:27:18 INFO mapred.JobClient:     SLOTS_MILLIS_MAPS=6181809
14/02/26 21:27:18 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
14/02/26 21:27:18 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
14/02/26 21:27:18 INFO mapred.JobClient:     Launched map tasks=32
14/02/26 21:27:18 INFO mapred.JobClient:     SLOTS_MILLIS_REDUCES=0
14/02/26 21:27:18 INFO mapred.JobClient:   Giraph Timers
14/02/26 21:27:18 INFO mapred.JobClient:     Superstep 33 ShortestPathsVertex (ms)=2142
14/02/26 21:27:18 INFO mapred.JobClient:     Superstep 8 ShortestPathsVertex (ms)=5448
14/02/26 21:27:18 INFO mapred.JobClient:     Superstep 23 ShortestPathsVertex (ms)=2341
14/02/26 21:27:18 INFO mapred.JobClient:     Superstep 22 ShortestPathsVertex (ms)=2374
14/02/26 21:27:18 INFO mapred.JobClient:     Superstep 7 ShortestPathsVertex (ms)=5240
14/02/26 21:27:18 INFO mapred.JobClient:     Superstep 29 ShortestPathsVertex (ms)=2158
14/02/26 21:27:18 INFO mapred.JobClient:     Superstep 35 ShortestPathsVertex (ms)=1926
14/02/26 21:27:18 INFO mapred.JobClient:     Superstep 26 ShortestPathsVertex (ms)=2184
14/02/26 21:27:18 INFO mapred.JobClient:     Shutdown (ms)=16759
14/02/26 21:27:18 INFO mapred.JobClient:     Superstep 36 ShortestPathsVertex (ms)=1966
14/02/26 21:27:18 INFO mapred.JobClient:     Superstep 21 ShortestPathsVertex (ms)=2175
